,title,worktype,skill,url,formatted_address,country,latlng
0,Material Controller,Full-Time,"['Warehousing', 'Forklift Truck', 'Housekeeping']",https://www.oilandgasjobsearch.com/job/J3R54K76JJPC3HGF6CP?ipath=CRJR1,"Southaven, MS, USA",USA,"{'lat': 34.9918587, 'lng': -90.0022958}"
1,Lead Contracts Engineer,Full-Time,"['Management', 'Engineering', 'Risk Management', 'Project Management', 'Coordinating', 'Finance']",https://www.oilandgasjobsearch.com/job/J3M2HT780M7T8LT5LZL?ipath=CRJR2,"Ahmadi, Kuwait",Kuwait,"{'lat': 29.083461, 'lng': 48.07347619999999}"
2,Contract Engineer,Full-Time,"['Management', 'Engineering', 'Risk Management', 'Project Management', 'Coordinating', 'Finance']",https://www.oilandgasjobsearch.com/job/J3T1F96JGV1WS58QSLQ?ipath=CRJR3,"Ahmadi, Kuwait",Kuwait,"{'lat': 29.083461, 'lng': 48.07347619999999}"
3,Lead Projects Controls Engineer,Full-Time,"['Scheduling', 'Finance', 'Accounting', 'Auditing', 'Forecasting', 'Subcontracting']",https://www.oilandgasjobsearch.com/job/J3S0H16M7K64F466369?ipath=CRJR4,"Ahmadi, Kuwait",Kuwait,"{'lat': 29.083461, 'lng': 48.07347619999999}"
4,Hydrogeologist,Full-Time,"['Groundwater', 'Hydrogeology', 'Geology', 'Water Resources', 'Time Management', 'Complex Problem Solving']",https://www.oilandgasjobsearch.com/job/J3W5JY60RYKNWH1K594?ipath=CRJR5,"Perth WA, Australia",Australia,"{'lat': -31.9505269, 'lng': 115.8604572}"
5,Senior Fire Engineer,Full-Time,"['Time Study', 'Asset Management', 'Oil And Gas', 'Oil Painting', 'Management', 'Middle East']",https://www.oilandgasjobsearch.com/job/J3R2BB6GBCK405SS7RW?ipath=CRJR6,"London, UK",UK,"{'lat': 51.5073509, 'lng': -0.1277583}"
6,Chemikant / Chemiefacharbeiter Wechselschicht,Full-Time,"['Einhaltung Gesetzlicher Vorschriften', 'Professional Development', 'Gesundheitsschutz (Wohnhygiene U.A.)', 'Kontinuierlicher Verbesserungsprozess', 'Deutsch (Sprachunterricht)', 'Ultraschallreinigung']",https://www.oilandgasjobsearch.com/job/J3P87B719R7M6HL7S5S?ipath=CRJR7,"Mannheim, Germany",Germany,"{'lat': 49.4874592, 'lng': 8.466039499999999}"
7,Sachbearbeiter Ersatzteilmanagement und Auftragsabwicklung,Full-Time,"['Aftersales', 'Personalbeschaffung', 'Word Wise', 'Einhaltung Gesetzlicher Vorschriften', 'Die Umsatzerl̦se', 'Interkulturelle Kompetenz']",https://www.oilandgasjobsearch.com/job/J3W6626JMD116JV85TJ?ipath=CRJR8,"Mannheim, Germany",Germany,"{'lat': 49.4874592, 'lng': 8.466039499999999}"
8,Chemikant / Chemietechniker für die Produktion,Full-Time,"['Dokumentation (Prozessindustrie)', 'Gliederung Der Zubereitung Von Speisen', 'Sicherstellung (Recht)', 'Rohstoffe', 'Berufsausbildung Mit Abitur', 'Gmp (Good Manufacturing Practice)']",https://www.oilandgasjobsearch.com/job/J3M0756CY9Z4J467TKZ?ipath=CRJR9,"Mannheim, Germany",Germany,"{'lat': 49.4874592, 'lng': 8.466039499999999}"
9,Projektmitarbeiter im Controlling,Full-Time,"['Controlling', 'Ms Office', 'Rechnungslegung', 'Sap', 'Professional Development', 'Verwaltung']",https://www.oilandgasjobsearch.com/job/J3M1CX6NVLPTH48D34K?ipath=CRJR10,"Mannheim, Germany",Germany,"{'lat': 49.4874592, 'lng': 8.466039499999999}"
