,title,employer,location,worktype,skill
0,Material Controller,OILANDGAS,"Southaven, Mississippi",Full-Time,"['Warehousing', 'Forklift Truck', 'Housekeeping']"
1,Lead Contracts Engineer,OILANDGAS,KWT-Al Ahmadi,Full-Time,"['Management', 'Engineering', 'Risk Management', 'Project Management', 'Coordinating', 'Finance']"
2,Contract Engineer,OILANDGAS,KWT-Al Ahmadi,Full-Time,"['Management', 'Engineering', 'Risk Management', 'Project Management', 'Coordinating', 'Finance']"
3,Lead Projects Controls Engineer,OILANDGAS,KWT-Al Ahmadi,Full-Time,"['Scheduling', 'Finance', 'Accounting', 'Auditing', 'Forecasting', 'Subcontracting']"
4,Hydrogeologist,OILANDGAS,AUS-WA-Perth,Full-Time,"['Groundwater', 'Hydrogeology', 'Geology', 'Water Resources', 'Time Management', 'Complex Problem Solving']"
5,Senior Fire Engineer,OILANDGAS,London,Full-Time,"['Time Study', 'Asset Management', 'Oil And Gas', 'Oil Painting', 'Management', 'Middle East']"
6,Chemikant / Chemiefacharbeiter Wechselschicht,OILANDGAS,Mannheim Baden-Württemberg,Full-Time,"['Einhaltung Gesetzlicher Vorschriften', 'Professional Development', 'Gesundheitsschutz (Wohnhygiene U.A.)', 'Kontinuierlicher Verbesserungsprozess', 'Deutsch (Sprachunterricht)', 'Ultraschallreinigung']"
7,Sachbearbeiter Ersatzteilmanagement und Auftragsabwicklung,OILANDGAS,Mannheim Baden-Württemberg,Full-Time,"['Aftersales', 'Personalbeschaffung', 'Word Wise', 'Einhaltung Gesetzlicher Vorschriften', 'Die Umsatzerl̦se', 'Interkulturelle Kompetenz']"
8,Chemikant / Chemietechniker für die Produktion,OILANDGAS,Mannheim Baden-Württemberg,Full-Time,"['Dokumentation (Prozessindustrie)', 'Gliederung Der Zubereitung Von Speisen', 'Sicherstellung (Recht)', 'Rohstoffe', 'Berufsausbildung Mit Abitur', 'Gmp (Good Manufacturing Practice)']"
9,Projektmitarbeiter im Controlling,OILANDGAS,Mannheim Baden-Württemberg,Full-Time,"['Controlling', 'Ms Office', 'Rechnungslegung', 'Sap', 'Professional Development', 'Verwaltung']"
10,Maintenance Manager (Fleet),OILANDGAS,georgetown,Full-Time,"['Installations (Manual/Mechanical)', 'Oil And Gas', 'Scheduling', 'Construction', 'Carpentry', 'Plumbing']"
11,Developer I Web,OILANDGAS,"Quezon City, National Capital Region",Full-Time,"['.Net Framework', 'Asp.Net', 'Hyper Text Markup Language (Html)', 'C Sharp (Programming Language)', 'Java Script (Programming Language)', 'Cascading Style Sheets (Css)']"
12,Senior MES Engineer,OILANDGAS,", Copenhagen",Full-Time,"['Systems Integration', 'Integration', 'Software Development', 'Requirements Analysis', 'Manufacturing', 'Pharmaceuticals']"
13,Senior Embedded Software Engineer (Measurement Solutions),OILANDGAS,"West Coast, Singapore",Full-Time,"['Integrated Circuits', 'Universal Asynchronous Receiver/Transmitter', 'Linux On Embedded Systems', 'Serial Peripheral Interface', 'Training', 'Onboarding']"
14,Regional D&I Manager,OILANDGAS,AUS-VIC-Melbourne,Full-Time,"['Management', 'Labour Laws']"
15,Administrator II Marketing Automation,OILANDGAS,"Quezon City, National Capital Region",Full-Time,"['A/B Testing', 'Web Analytics', 'Content Management', 'Analytics', 'Web Content Management Systems', 'Scheduling']"
16,Specialist I Customer Support,OILANDGAS,"Quezon City, National Capital Region",Full-Time,"['Stress Management', 'Courtesy', 'Microsoft Office', 'Attention To Detail', 'Multitasking', 'Microsoft Excel']"
17,Contracts Engineer,OILANDGAS,"Doha, Doha, Doha Province, Qatar",Contractor,"['Storage (Warehousing)', 'Scheduling', 'Laws', 'Instructions', 'Documentation', 'Industry Practices']"
18,Senior Process Engineer (Research & Development),OILANDGAS,"Budapest, Budapest, Hungary",Contractor,"['Centrifugation', 'Scheduling', 'Management', 'Process Improvements (Business)', 'Distillation', 'Biochemistry']"
19,Senior Process Engineer,Spencer Ogden - Singapore,"Ban Rong Chang, Lop Buri",Contractor,"['Scheduling', 'Quality Management Systems', 'Oil And Gas', 'Oil Painting', 'Oil And Gas', 'English Language']"
20,QAQC Manager,Spencer Ogden - Singapore,Kuala Lumpur,Contractor,"['Project Management', 'Quality Management Systems', 'C (Programming Language)', 'Quality Management', 'Oil Painting', 'Oil And Gas']"
21,Controls Technical Advisor,Spencer Ogden - Singapore,"Sabah, Sabah",Contractor,"['Management', 'Operations', 'Leadership', 'Presentations', 'Problem Solving', 'Research']"
22,Contract - Instrumentation Commissioning Engineer - Taiwan,Janikin Rooke Ltd,"Chiayi, Chiayi City",Contractor,"['Mandarin (Language)', 'Profibus', 'Automation', 'Valves (Piping)', 'Original Equipment Manufacturer', 'Testing']"
23,Werkvoorbereider Installatietechniek,OILANDGAS,"Amsterdam, Noord-Holland",Full-Time,"['Elektrotechniek', 'Regeltechniek', 'Werktuigbouwkunde', 'Werktuigbouwkunde (Onderwijs Geven)', 'Installatietechniek']"
24,Marine Civil engineer,OILANDGAS,London,Full-Time,"['Hardworking And Dedicated', 'Management', 'Civil Engineering', 'Commercial Awareness', 'Scale (Map)', 'Construction']"
25,Chef(-fe) de projet foncier PV,OILANDGAS,Paris/Montpellier/Marseille,Full-Time,"['Projet (Chaudière)', 'Formation', 'Liens', 'Marchandage', 'Photovoltaïque', 'Commerce']"
26,Projektleiter Elektrotechnik / Energietechnik,OILANDGAS,"Hamburg, Hamburg",Full-Time,"['Kreatives Denken', 'Meister', 'Zusammenarbeit', 'Erweiterungskarten', 'Professional Development', 'Instandhaltung']"
27,Administrator,OILANDGAS,KWT-Al Ahmadi,Full-Time,"['Document Management Systems', 'Trustworthy']"
28,Telecom Tower Tech 3 - Tophand,OILANDGAS,"Jacksonville, Florida",Full-Time,"['Occupational Health And Safety Administration (Osha)', 'Cardiopulmonary Resuscitation', 'First Aid', 'Microsoft Excel', 'Microsoft Outlook']"
29,Leidinggevende Monteur Installatietechniek,OILANDGAS,"Amsterdam, Noord-Holland",Full-Time,"['Elektrotechniek', 'Regeltechniek', 'Werktuigbouwkunde', 'Werktuigbouwkunde (Onderwijs Geven)', 'Installatietechniek']"
30,Cost Engineer,OILANDGAS,"Bristol, United Kingdom Countrywide",Full-Time,"['Scheduling', 'Commercial Management', 'Metrics', 'Cost Benefit Analysis', 'Cost Controling', 'Earned Value Management']"
31,Technician II (2424) SAT (TEMP),OILANDGAS,"Aberdeen Proving Grounds, Maryland",Full-Time,"['Data Acquisition', 'Instrumentation', 'Maintenance', 'Curiosity', 'Stress Management', 'Test Execution Engine']"
32,Werkvoorbereider E/W,OILANDGAS,"Amsterdam, Noord-Holland",Full-Time,"['Elektrotechniek', 'Regeltechniek', 'Werktuigbouwkunde', 'Werktuigbouwkunde (Onderwijs Geven)', 'Installatietechniek']"
33,Projectleider Installatietechniek,OILANDGAS,"Utrecht, Utrecht",Full-Time,"['Planning', 'Elektrotechniek', 'Regeltechniek', 'Werktuigbouwkunde', 'Werktuigbouwkunde (Onderwijs Geven)', 'Installatietechniek']"
34,Drilling Supervisor (Night) M/F,OILANDGAS,Khwaeng Khlong Tan Nuea,Full-Time,"['English Language', 'Thai (Language)', 'Operations', 'Leadership', 'Engineering', 'Coordinating']"
35,I&C Technician,Spencer Ogden - UK,Muscat,Contractor,"['Voltmeter', 'Wiring Diagram', 'Circuit Diagrams', 'Panel Building', 'Solenoid', 'Test Equipment']"
36,Battery Lab Test Technician,OILANDGAS,"Allen Park, Michigan",Full-Time,"['Testing', 'Installations (Manual/Mechanical)', 'Electric Vehicle', 'Automation', 'Verification', 'Test Execution Engine']"
37,Intermediate Aquatic Biologist - Crew Lead,OILANDGAS,"Calgary, Calgary (Div. 6), Alberta",Full-Time,"['Analysis', 'Field Research', 'Project Management', 'Environmental Impact Assessments', 'Biology', 'Technical Writings']"
38,Electrical & Instrumentation Engineer,OILANDGAS,"Ipswich, Suffolk",Full-Time,"['Oil And Gas', 'Oil Painting', 'Telemetry']"
39,Project Engineer,OILANDGAS,KWT-Al Ahmadi,Full-Time,"['Quality Management', 'Scheduling', 'Risk Management', 'Operations', 'Communications Management', 'Change Control']"
40,Operational and Facility Engineer,OILANDGAS,"Dearborn, Michigan",Full-Time,"['Testing', 'Commissioning', 'Installations (Manual/Mechanical)', 'Troubleshooting (Problem Solving)', 'Engineering', 'Boilers']"
41,Engineer II – Ocean Engineer,OILANDGAS,"Wilson, Florida",Full-Time,"['Scheduling', 'Operations', 'Self Motivation', 'Engineering', 'Testing', 'Fluid Dynamics']"
42,Project Manager - Digital Energy,Spencer Ogden - USA,"Boston, Massachusetts",Full-Time,"['Management', 'Project Planning', 'Risk Management', 'Project Management', 'Analysis', 'Communication']"
43,FP&A - Lead Consultant,Spencer Ogden - USA,"New York, New York",Full-Time,"['Financial Analysis', 'Revenues', 'Financial Modeling', 'Budgeting', 'Forecasting', 'Finance']"
44,Project Engineer - Automation/SCADA,Spencer Ogden - UK,"Hamburg, Hamburg",Full-Time,"['German Language', 'Electrical Engineering', 'Manufacturing', 'Interface', 'Supervisory Control And Data Acquisition (Scada)', 'English Language']"
45,Senior Software Engineer,Spencer Ogden - USA,"Boston, Massachusetts",Full-Time,"['Software As A Services', 'Big Data', 'Microsoft Azure', 'Scrum (Software Development)', 'Agile Software Development', 'Amazon Web Services']"
46,Bauingenieur Hochbau,OILANDGAS,"Augsburg, Bayern",Full-Time,"['Einhaltung Gesetzlicher Vorschriften', 'Bautechnik (Technische Aspekte)', 'Dokumentation', 'Instandhaltung', 'Architectural Engineering', 'Planung (Ausbildung)']"
47,Fachinformatiker,OILANDGAS,"Augsburg, Bayern",Full-Time,"['Infrastruktur', 'Softwares', 'Incident Management', 'Religi̦ser Text', 'Deutsch (Sprachunterricht)', 'Mobile Device Management']"
48,Major Projects - Project Director,OILANDGAS,PER-Lima Province,Full-Time,"['Scheduling', 'Operations', 'Management']"
49,Digital Product Delivery Lead,OILANDGAS,"Wokingham, United Kingdom Countrywide",Full-Time,"['Consolidation (Financial)', 'Business Development', 'Solution Delivery', 'Competitor Analysis', 'Data Analysis', 'Data Management']"
50,Quantity Surveyor,OILANDGAS,"Muscat, Muscat",Contractor,"['Scheduling', 'Subcontracting', 'Cost Controling', 'Cost Benefit Analysis', 'Feasibility Studies', 'Procurement']"
51,Principal EC&I Engineer,OILANDGAS,"Knutsford, United Kingdom Countrywide",Full-Time,"['Hazard And Operability Study', 'Hazard Identification', 'Testing', 'Scheduling', 'Nuclear Power', 'Reliability']"
52,Staff Archaeologist,OILANDGAS,"San Diego, California",Full-Time,"['Field Research', 'Soil Science', 'Construction', 'Testing', 'Foundation (Framework)']"
53,Digital Product Delivery Lead,OILANDGAS,"Birmingham, United Kingdom Countrywide",Full-Time,"['Consolidation (Financial)', 'Business Development', 'Solution Delivery', 'Competitor Analysis', 'Data Analysis', 'Data Management']"
54,Base Manager,OILANDGAS,Georgetown,Full-Time,"['Operations', 'Management']"
55,Application Engineer Softwareentwicklung,OILANDGAS,"Augsburg, Bayern",Full-Time,"['C Sharp (Programming Language)', 'Java (Programming Language)', 'Scalability', '.Net Framework', 'Perl (Programming Language)', 'Vbscript (Visual Basic Scripting Edition)']"
56,Automation and Digitalization Research Senior Consultant,OILANDGAS,Riyadh,Full-Time,"['Creativity', 'Management', 'Rapid Prototyping', 'Operations', 'Presentations', 'Research']"
57,Ecological Clerk of Works (contract),OILANDGAS,"Galway, Ireland Countrywide",Full-Time,"['Advising', 'Resource Management']"
58,Project Manager - Digital Energy,Spencer Ogden - USA,"Boston, Massachusetts",Full-Time,"['Management', 'Project Planning', 'Risk Management', 'Project Management', 'Analysis', 'Communication']"
59,Senior EC&I Engineer,OILANDGAS,"Knutsford, United Kingdom Countrywide",Full-Time,"['Hazard And Operability Study', 'Hazard Identification', 'Systems Design', 'Analysis', 'Scheduling', 'Nuclear Power']"
60,Product Marketing Manager,Spencer Ogden - USA,"North Bergen, New Jersey",Full-Time,"['Business Development', 'Market Research', 'New Product Development', 'Product Marketing', 'Market Analysis', 'Marketing']"
61,Offshore Installation Manager / Offshore Commissioning Manager,OILANDGAS,"Braunschweig, Niedersachsen",Full-Time,"['Differentialgeometrie', 'Personalbeschaffung', 'Einhaltung Gesetzlicher Vorschriften', 'Pferdepflege', 'Maschinenbau', 'Kommunikation']"
62,Strategischer Einkäufer,OILANDGAS,"Braunschweig, Niedersachsen",Full-Time,"['Zusammenarbeit', 'Professional Development', 'Sap', 'Unternehmen', 'Leistungsoptimierung', 'Erlebnisp� Dagogik']"
63,Senior Engineer / Civil Raiload Design,OILANDGAS,"Jacksonville, Florida",Full-Time,"['Civil Engineering', 'Professional Engineer', 'Earthworks', 'Erosion Control', 'Civil Designer', 'Signaling (Crane Rigging)']"
64,Contract & Sourcing Analyst,OILANDGAS,IND-MM-Mumbai,Full-Time,"['Leadership', 'Complex Problem Solving', 'Business Acumen', 'Customer Relationship Management', 'Market Research', 'Category Management']"
65,FP&A - Lead Consultant,Spencer Ogden - USA,"New York, New York",Full-Time,"['Financial Analysis', 'Revenues', 'Financial Modeling', 'Budgeting', 'Forecasting', 'Finance']"
66,Land/GIS Surveyor,OILANDGAS,"Muscat, Muscat",Contractor,"['Surveying', 'Geographic Information Systems', 'Topography', 'Computer Aided Design', 'Earthworks', 'Global Positioning Systems']"
67,EC&I Engineer,OILANDGAS,"Knutsford, United Kingdom Countrywide",Full-Time,"['Process Architecture', 'Nuclear Power', 'Control Systems', 'Budgeting', 'Documentation', 'Technical Documentation']"
68,Compliance Coordinator,OILANDGAS,"Houston, Texas",Full-Time,"['Reports', 'Databases', 'Insurance', 'Microsoft Share Point', 'Information Technology', 'Corrective And Preventive Actions']"
69,Senior Radioactive Waste Management Consultant,OILANDGAS,"Didcot, United Kingdom Countrywide",Full-Time,"['Software Packaging', 'Stakeholder Engagement', 'Business Development', 'Information Security', 'Waste Management', 'Technical Writings']"
70,Network Security Engineer,OILANDGAS,"Houston, Texas",Full-Time,"['Information Security', 'Passionate', 'Network Security']"
71,Water Treatment Plant Manager,OILANDGAS,"Fort Irwin, California",Full-Time,"['Reverse Osmosis', 'Management', 'Sewage Treatments', 'Training', 'Recruitment', 'Distributed Computing']"
72,Structural Engineer,OILANDGAS,"Idaho Falls, Idaho",Full-Time,"['Submittals (Construction)', 'Scheduling', 'Subcontracting', 'Installations (Manual/Mechanical)', 'Contract Management', 'Testing']"
73,Radiation Protection Adviser,OILANDGAS,"Warrington, Cheshire",Full-Time,"['Decision Making', 'Risk Analysis', 'Corrective And Preventive Actions', 'Management', 'Auditing', 'Professional Development']"
74,TrackRecord Delivery Lead,OILANDGAS,"London, United Kingdom Countrywide",Full-Time,"['Consolidation (Financial)', 'Business Development', 'Solution Delivery', 'Competitor Analysis', 'Data Analysis', 'Data Management']"
75,FP&A - Lead Consultant,Spencer Ogden - USA,"New York, New York",Full-Time,"['Financial Analysis', 'Revenues', 'Financial Modeling', 'Budgeting', 'Forecasting', 'Finance']"
76,GBS Project Accounting/Finance Functional Consultant,OILANDGAS,IND-MM-Mumbai,Full-Time,"['Accruals', 'Accounts Receivable', 'Accounts Payable', 'Fixed Asset', 'Scheduling', 'Billing']"
77,Project Manager - Digital Energy,Spencer Ogden - USA,"Boston, Massachusetts",Full-Time,"['Management', 'Project Planning', 'Risk Management', 'Project Management', 'Analysis', 'Communication']"
78,Well Services Supervisor,OILANDGAS,Abu Dhabi,Full-Time,"['Operations', 'Frames', 'Service Provider', 'Drawing']"
79,Senior / Principal Risk Assessor,OILANDGAS,"Calgary, Calgary (Div. 6), Alberta",Full-Time,"['Chemistry', 'Biology', 'Geology', 'Earth Sciences', 'Hydrogeology', 'Management']"
80,Senior Construction Manager (Rail/Transit),OILANDGAS,"Oakland, California",Full-Time,"['Scheduling', 'Submittals (Construction)', 'Construction Management', 'Constructability', 'Professional Engineer', 'Construction']"
81,Senior Software Engineer,Spencer Ogden - USA,"Boston, Massachusetts",Full-Time,"['Software As A Services', 'Big Data', 'Microsoft Azure', 'Scrum (Software Development)', 'Agile Software Development', 'Amazon Web Services']"
82,Project Manager - Digital Energy,Spencer Ogden - USA,"Boston, Massachusetts",Full-Time,"['Management', 'Project Planning', 'Risk Management', 'Project Management', 'Analysis', 'Communication']"
83,Integrity Engineer,OILANDGAS,"North York, Toronto, Ontario",Contractor,"['Mathematics', 'Vb Script (Visual Basic Scripting Edition)', 'Sql (Programming Language)', 'Complex Problem Solving', 'Power Bi', 'Communication']"
